1,ua_52_1,1.0,,1,UnitsOfMeasurementPrefix
2,ua_52_2,1.0,,1,UnitsOfMeasurementPrefix
3,ua_52_3,1.0,,1,UnitsOfMeasurementPrefix
4,ua_52_4,1.0,,1,UnitsOfMeasurementPrefix
5,ua_52_5,1.0,,1,UnitsOfMeasurementPrefix
6,ua_52_6,1.0,,1,UnitsOfMeasurementPrefix
7,ua_52_7,1.0,,1,UnitsOfMeasurementPrefix
8,ua_52_8,1.0,,1,UnitsOfMeasurementPrefix
9,ua_52_9,1.0,,1,UnitsOfMeasurementPrefix
10,ua_52_10,1.0,,1,UnitsOfMeasurementPrefix
11,ua_52_11,1.0,,1,UnitsOfMeasurementPrefix
12,ua_52_12,1.0,,1,UnitsOfMeasurementPrefix
13,ua_52_13,1.0,,1,UnitsOfMeasurementPrefix
14,ua_52_14,1.0,,1,UnitsOfMeasurementPrefix
15,ua_52_15,1.0,,1,UnitsOfMeasurementPrefix
16,ua_52_16,1.0,,1,UnitsOfMeasurementPrefix
17,ua_52_17,1.0,,1,UnitsOfMeasurementPrefix
18,ua_52_18,1.0,,1,UnitsOfMeasurementPrefix
19,ua_52_19,1.0,,1,UnitsOfMeasurementPrefix
20,ua_52_20,1.0,,1,UnitsOfMeasurementPrefix
