no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","DataClassification","2023-10-11T09:54:23.238","2024-09-23T16:11:15.276","200000004985","2","1","Загальні","Public","ua_13_1","false",null,null,null
"2","null","null","1.0","DataClassification","2023-10-11T09:54:23.241","2024-09-23T16:11:15.318","200000004984","2","1","Конфіденційні","Confidential","ua_13_2","false",null,null,null
"3","null","null","1.0","DataClassification","2023-10-11T09:54:23.242","2024-09-23T16:11:15.342","200000004986","2","1","Обмеженого доступу","Restricted","ua_13_3","false",null,null,null
