no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"34","null","null","1.0","Material","2023-10-10T18:37:21.560","2024-09-23T14:59:14.414","200000012521","4","1","Етилен метаакрилова кислота","Ethylene meta-acrylic acid","ua_25_34","false","Етилен метаакрилова кислота","EMAA",null
"35","null","null","1.0","Material","2023-10-10T18:37:21.564","2024-09-23T14:59:14.417","200000012522","5","1","Сополімер етилену і вінілового спирту","Ethylene-Vinyl Alcohol copolymer","ua_25_35","false","Сополімер етилену і вінілового спирту","EVOH",null
"36","null","null","1.0","Material","2023-10-10T18:37:21.568","2024-09-23T14:59:14.419","200000012523","4","1","Полівініліденфторид","PolyVinylidene Fluoride","ua_25_36","false","Полівініліденфторид","PVdF",null
"37","null","null","1.0","Material","2023-10-10T18:37:21.572","2024-09-23T14:59:14.423","200000012524","4","1","Поліетилен середньої щільності","Medium Density PolyEthylene","ua_25_37","false","Поліетилен середньої щільності","MDPE",null
"38","null","null","1.0","Material","2023-10-10T18:37:21.575","2024-09-23T14:59:14.426","200000012538","4","1","Синдіотактичний поліпропілен","Syndiotactic Polypropylene","ua_25_38","false","Синдіотактичний поліпропілен","SPP",null
"39","null","null","1.0","Material","2023-10-10T18:37:21.580","2024-09-23T14:59:14.429","200000015521","4","1","Поліетиленовий сополімер","PolyEthylene copolymer","ua_25_39","false",null,null,null
"40","null","null","1.0","Material","2024-09-23T14:59:14.139","2024-09-23T14:59:14.176","200000023330","5","1","Спінений поліетилен","Expanded Polyethylene","ua_25_40","false","Спінений поліетилен","EPE",null
"41","null","null","1.0","Material","2024-09-23T14:59:14.180","2024-09-23T14:59:14.183","200000023332","4","1","Циклічний олефіновий полімер","Cyclic Olefin Polymer","ua_25_41","false","Циклічний олефіновий полімер","COP","Циклічний олефіновий полімер (COP) виготовляється шляхом полімеризації одного типу мономеру. Ці полімери, як правило, виготовлені з похідних циклопентадієну в полімеризації з розкриттям кільця з подальшим гідруванням."
"42","null","null","1.0","Material","2024-09-23T14:59:14.187","2024-09-23T14:59:14.189","200000025255","4","1","Силікагель","Silica gel","ua_25_42","false",null,null,"високоадсорбуюча желатинова форма кремнезему, яка використовується головним чином як осушувач і дегідрататор"
"43","null","null","1.0","Material","2024-09-23T14:59:14.192","2024-09-23T14:59:14.195","200000025257","4","1","Лінійний поліетилен низької щільності","Linear Low Density PolyEthylene","ua_25_43","false","Лінійний поліетилен низької щільності","LLDPE",null
