495454,"100000092875","Ізопропіловий спирт","/71522,/UA-000000000-000038136"
495453,"100000092217","Титану діоксид","/71522,/UA-000000000-000038136"
495452,null,"*брильянтовий синій","/71522,/UA-000000000-000038136"
495451,"100000127354","Діамантовий синій алюмінієвий лак fcf (e133)","/71522,/UA-000000000-000038136"
495450,"100000092866","SUNSET ЖОВТИЙ (E110) АЛЮМІНІЄВИЙ ЛАК (E110)","/71522,/UA-000000000-000038136"
495449,"100000138421","Червоний алюмінієвий лак","/71522,/UA-000000000-000038136"
495448,"100000088586","Магнію стеарат","/71522,/UA-000000000-000038136"
495447,"100000092893","Бутиловий спирт","/71522,/UA-000000000-000038136"
495446,"100000093305","Лактози моногідрат","/71522,/UA-000000000-000038136"
495445,"100000079333","ШЕЛАК","/71522,/UA-000000000-000038136"
495444,"100000093305","Лактози моногідрат","/71522,/UA-000000000-000038136"
495443,null,"*червоний чарівний ас е 129","/71522,/UA-000000000-000038136"
495442,"100000078553","ЖЕЛАТИН","/71522,/UA-000000000-000038136"
495441,"100000131384","Гіпромелоза 2910, 3 мПа·с","/71522,/UA-000000000-000038136"
495440,"100000089833","Симетикон","/71522,/UA-000000000-000038136"
495439,"100000092217","Титану діоксид","/71522,/UA-000000000-000038136"
495438,"100000130462","Етилцелюлоза 100 мПа.с","/71522,/UA-000000000-000038136"
495437,"100000076122","ЛЕЦИТИН СОЄВИЙ","/71522,/UA-000000000-000038136"
495436,"100000078520","Пропіленгліколь","/71522,/UA-000000000-000038136"
495435,"100000092866","SUNSET ЖОВТИЙ (E110) АЛЮМІНІЄВИЙ ЛАК (E110)","/71522,/UA-000000000-000038136"
495433,"100000078553","ЖЕЛАТИН","/71522,/UA-000000000-000038136"
495432,"100000089172","Такролімус","/71522,/UA-000000000-000038136"
495407,"100000092875","Ізопропіловий спирт","/71519,/UA-000000000-000038134"
495406,"100000092217","Титану діоксид","/71519,/UA-000000000-000038134"
495405,null,"*брильянтовий синій","/71519,/UA-000000000-000038134"
495404,"100000127354","Діамантовий синій алюмінієвий лак fcf (e133)","/71519,/UA-000000000-000038134"
495403,"100000092866","SUNSET ЖОВТИЙ (E110) АЛЮМІНІЄВИЙ ЛАК (E110)","/71519,/UA-000000000-000038134"
495402,"100000138421","Червоний алюмінієвий лак","/71519,/UA-000000000-000038134"
495401,"100000088586","Магнію стеарат","/71519,/UA-000000000-000038134"
495400,"100000092893","Бутиловий спирт","/71519,/UA-000000000-000038134"
495399,"100000093305","Лактози моногідрат","/71519,/UA-000000000-000038134"
495398,"100000079333","ШЕЛАК","/71519,/UA-000000000-000038134"
495397,"100000093305","Лактози моногідрат","/71519,/UA-000000000-000038134"
495396,null,"*червоний чарівний ас е 129","/71519,/UA-000000000-000038134"
495395,"100000078553","ЖЕЛАТИН","/71519,/UA-000000000-000038134"
495394,"100000131384","Гіпромелоза 2910, 3 мПа·с","/71519,/UA-000000000-000038134"
495393,"100000089833","Симетикон","/71519,/UA-000000000-000038134"
495392,"100000092217","Титану діоксид","/71519,/UA-000000000-000038134"
495391,"100000130462","Етилцелюлоза 100 мПа.с","/71519,/UA-000000000-000038134"
495390,"100000076122","ЛЕЦИТИН СОЄВИЙ","/71519,/UA-000000000-000038134"
495389,"100000078520","Пропіленгліколь","/71519,/UA-000000000-000038134"
495388,"100000092866","SUNSET ЖОВТИЙ (E110) АЛЮМІНІЄВИЙ ЛАК (E110)","/71519,/UA-000000000-000038134"
495387,"100000092286","Тартразин","/71519,/UA-000000000-000038134"
495386,"100000078553","ЖЕЛАТИН","/71519,/UA-000000000-000038134"
