no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"8794","1.0","Atc","2025-04-04T14:21:38.938","2025-04-04T14:21:38.938",null,"1","1",null,null,null,"false",null,null,null
"8795","1.0","Atc","2025-04-04T14:21:38.938","2025-04-04T14:21:38.938",null,"1","1",null,null,null,"false",null,null,null
"8796","1.0","Atc","2025-04-04T14:21:38.938","2025-04-04T14:21:38.938",null,"1","1",null,null,null,"false",null,null,null
"8797","1.0","Atc","2025-04-04T14:21:38.938","2025-04-04T14:21:38.938",null,"1","1",null,null,null,"false",null,null,null
"8798","1.0","Atc","2025-04-04T14:21:38.938","2025-04-04T14:21:38.938",null,"1","1",null,null,null,"false",null,null,null
"8799","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8800","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8801","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8802","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8803","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8804","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8805","1.0","Atc","2025-04-04T14:21:38.939","2025-04-04T14:21:38.939",null,"1","1",null,null,null,"false",null,null,null
"8806","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Cocarboxylase",null,"false",null,null,null
"8807","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Pitofenone",null,"false",null,null,null
"8808","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Influenza, purified antigen",null,"false",null,null,null
"8809","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Gonadotropins, combinations",null,"false",null,null,null
"8810","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Mono",null,"false",null,null,null
"8811","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Vasopressin",null,"false",null,null,null
"8812","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Pinaverium bromide",null,"false",null,null,null
"8813","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Piperacillin and enzyme inhibitor",null,"false",null,null,null
"8814","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Althea root",null,"false",null,null,null
"8815","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Comb drug",null,"false",null,null,null
"8816","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Lanatozide C",null,"false",null,null,null
"8817","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Atenolol and other antihypertensives",null,"false",null,null,null
"8818","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Barium sulfate",null,"false",null,null,null
"8819","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Pyridostigmine bromide",null,"false",null,null,null
"8820","1.0","Atc","2025-04-04T14:21:39.041","2025-04-04T14:21:39.041",null,"1","1",null,"*Myramistin",null,"false",null,null,null
"8821","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Paracetamol, combinations",null,"false",null,null,null
"8822","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Eptacog alfa (activated)",null,"false",null,null,null
"8823","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Cytisine",null,"false",null,null,null
"8824","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Theobrominum",null,"false",null,null,null
"8825","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Tetramethylglycoluril",null,"false",null,null,null
"8826","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Bisoprolol and other antihypertensives",null,"false",null,null,null
"8827","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Ferrous citrate",null,"false",null,null,null
"8828","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Methoxy polyethylene glycol-epoetin",null,"false",null,null,null
"8829","1.0","Atc","2025-04-04T14:21:39.042","2025-04-04T14:21:39.042",null,"1","1",null,"*Metronidazole, combinations",null,"false",null,null,null
"8830","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*гіосцин",null,null,"false",null,null,null
"8831","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*кропу пахучого плоди",null,null,"false",null,null,null
"8832","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*етиловий ефір альфа-бромізовалеріанової кислоти",null,null,"false",null,null,null
"8833","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*бензобарбітал",null,null,"false",null,null,null
"8834","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*hypophysis",null,null,"false",null,null,null
"8835","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*potentilla anserina",null,null,"false",null,null,null
"8836","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*ferrum picrinicum d12",null,null,"false",null,null,null
"8837","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*6-метилурацил",null,null,"false",null,null,null
"8838","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*ацетилбензоїлаконін",null,null,"false",null,null,null
"8839","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*Гістидин",null,null,"false",null,null,null
"8840","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*nasturtium officinale",null,null,"false",null,null,null
"8841","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*teucrium scorodonia d3",null,null,"false",null,null,null
"8842","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*hydrochlorothiazide d4",null,null,"false",null,null,null
"8843","1.0","Atc","2025-04-04T14:21:43.559","2025-04-04T14:21:43.559",null,"1","1","*ізолейцин",null,null,"false",null,null,null
"8844","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*терпентинова ефірна олія",null,null,"false",null,null,null
"8845","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*stannum metallicum d12",null,null,"false",null,null,null
"8846","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*тіотріазолін",null,null,"false",null,null,null
"8847","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*achillea millefolium",null,null,"false",null,null,null
"8848","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*софори японської настойка",null,null,"false",null,null,null
"8849","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*aspergillus niger",null,null,"false",null,null,null
"8850","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*амілметакрезол",null,null,"false",null,null,null
"8851","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*квасолі стулок плоди",null,null,"false",null,null,null
"8852","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*bryonia cretica",null,null,"false",null,null,null
"8853","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*екстракт рідкий складний",null,null,"false",null,null,null
"8854","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*cyclamen purpurascens d3",null,null,"false",null,null,null
"8855","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*алерген із пилку кульбаби (allergenum e pollen taraxacum officinale)",null,null,"false",null,null,null
"8856","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*пневмококовий полісахарид серотипу 7f кон'югований з crm197",null,null,"false",null,null,null
"8857","1.0","Atc","2025-04-04T14:21:43.560","2025-04-04T14:21:43.560",null,"1","1","*алерген із житньої муки",null,null,"false",null,null,null
