no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
43,1.0,Language,2023-10-05T16:19:18.331,2023-11-14T17:33:57.965,100000072160,1,1,Каннада,Kannada,ua_19_43,false,null,null,null
44,1.0,Language,2023-10-05T16:19:18.334,2023-11-14T17:33:57.987,100000072161,2,1,Каталонська,Catalan,ua_19_44,false,null,null,null
45,1.0,Language,2023-10-05T16:19:18.336,2023-11-14T17:33:57.824,100000072162,2,1,Чеченська,Chechen,ua_19_45,false,null,null,null
46,1.0,Language,2023-10-05T16:19:18.338,2023-11-14T17:33:57.925,100000072163,2,1,Китайська,Chinese,ua_19_46,false,null,null,null
47,1.0,Language,2023-10-05T16:19:18.341,2023-11-14T17:33:57.990,100000072164,3,1,Старослов'янська,Church Slavic,ua_19_47,false,null,null,null
48,1.0,Language,2023-10-05T16:19:18.343,2023-11-14T17:33:57.967,100000072165,2,1,Корніш,Cornish,ua_19_48,false,null,null,null
49,1.0,Language,2023-10-05T16:19:18.345,2023-11-14T17:33:57.959,100000072166,2,1,Корсиканська,Corsican,ua_19_49,false,null,null,null
50,1.0,Language,2023-10-05T16:19:18.347,2023-11-14T17:33:57.855,100000072167,3,1,Чеська,Czech,ua_19_50,false,null,null,null
51,1.0,Language,2023-10-05T16:19:18.350,2023-11-14T17:33:57.981,100000072168,3,1,Данська,Danish,ua_19_51,false,null,null,null
52,1.0,Language,2023-10-05T16:19:18.352,2023-11-14T17:33:58.054,100000072169,3,1,Голландська (нідерландська),Dutch,ua_19_52,false,null,null,null
53,1.0,Language,2023-10-05T16:19:18.355,2023-11-14T17:33:57.822,100000072170,1,1,Дзонґ-ке,Dzongkha,ua_19_53,false,null,null,null
54,1.0,Language,2023-10-05T16:19:18.357,2023-11-14T17:33:57.969,100000072171,2,1,Есперанто,Esperanto,ua_19_54,false,null,null,null
55,1.0,Language,2023-10-05T16:19:18.360,2023-11-14T17:33:58.076,100000072172,3,1,Естонська,Estonian,ua_19_55,false,null,null,null
