no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.201","100000000038","null","1","Чоловіки","Male","ua_71_1","false","Ч","M","null"
"2","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.204","100000000039","null","1","Жінки","Female","ua_71_2","false","Ж","F","null"
"3","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.207","100000000040","null","1","Чоловіки та Жінки","Male and Female","ua_71_3","false","Ч та Ж","M&F","null"
"4","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.211","100000000042","null","1","Не впливає","Not applicable","ua_71_4","false","Не впл.","NA","null"
"5","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.214","100000000041","null","1","Не з'ясовано","Not known","ua_71_5","false","Не з'ясовано","Not known","null"
"6","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.217","100000072070","null","1","Чоловіки кастровані","Male-neutered","ua_71_6","false","Ч-кас","Mn","null"
"7","null","null","1.0","ProcreationBiologicalDesignation","2024-01-08T13:39:26.417","2024-01-08T15:05:24.221","100000072081","null","1","Жінки кастровані","Female-neutered","ua_71_7","false","Ж-кас","Fn","null"
