no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","StateOfMatter","2023-11-08T16:47:26.207","2023-11-14T17:34:19.214","200000002021","26","1","Твердий","Solid","ua_47_1","false",null,null,"Стан речовини, що складається з молекул у жорсткій структурі, стійкій до змін форми або об’єму."
"2","null","null","1.0","StateOfMatter","2023-11-08T16:47:26.214","2023-11-14T17:34:19.216","200000002022","26","1","Напівтвердий","Semi-solid","ua_47_2","false",null,null,"Стан речовини, що складається з молекул у нежорсткій структурі, яка може зберігати форму і об’єм, але не стійка до таких змін."
"3","null","null","1.0","StateOfMatter","2023-11-08T16:47:26.217","2023-11-14T17:34:19.218","200000002023","26","1","Рідкий","Liquid","ua_47_3","false",null,null,"Стан речовини, що складається з молекул у нежорсткій структурі, що зберігає свій об’єм, але відповідає формі будь-якого контейнера, що чинить на нього тиск, і піддається потоку."
"4","null","null","1.0","StateOfMatter","2023-11-08T16:47:26.221","2023-11-14T17:34:19.220","200000002024","26","1","Газоподібний","Gas","ua_47_4","false",null,null,"Стан речовини, що складається з молекул у пружній повітряноподібній субстанції, які відокремлені одна від одної та вільно рухаються, не тримають чіткої форми або об’єму та здатні необмежено розширюватися."
"5","null","null","1.0","StateOfMatter","2023-11-08T16:47:26.224","2023-11-14T17:34:19.212","200000002025","26","1","Невідомо","Unclear","ua_47_5","false",null,null,"Стан речовини з невідомими, неуточненими або змінними фізичниими характеристиками."
